SKU,Descripcion,Familia,Linea,Fabricante,Precio_Lista,Moneda,Porcentaje_IVA,Porcentaje_IEPS
102131327 SP,BARRA DE ENERGIA SABOR NUEZ Y SAL 50 GRS,DEXTRO,DEXTRO,DEXTRO,55,Pesos,0,8
102231252,BARRA DE PROTEINA SABOR CHOCOLATE 50 G,DEXTRO,DEXTRO,DEXTRO,55,Pesos,0,8
102231253,BARRA DE PROTEINA SABOR VAINILLA-COCO 50 G,DEXTRO,DEXTRO,DEXTRO,55,Pesos,0,8
MORRAL-HA,MORRAL SELECCION HARIBO,NON FOODS,HARIBO,HARIBO,55,Pesos,16,0
2752 M,GALLETA CRUJIENTE RELLENA DE CREMA DE CARAMELO 200G,GALLETAS,MANNER,MANNER,53,Pesos,0,8
AMK-PL008,AMOS GOMITAS PELABLE EDICION FAN PARTY 170 GR,GOMITAS,LANEZI,LANEZI,53,Pesos,0,8
EF62029,CHOCOLATE AMARGO CON HOJUELAS DE MAIZ Y CAFE 100g,TABLETAS CHOCOLATE,RITTER,RITTER,53,Pesos,0,8
FS62609,RITTER SPORT CHOCOLATE 70% CACAO 100 G,TABLETAS CHOCOLATE,RITTER,RITTER,53,Pesos,0,8
5513,MINICHERRY CAJITA ICEE 24/9/50,CANEL�S,CANEL�S,CANEL�S,52,Pesos,0,8
1295,MOSTAZA COLMANS EN POLVO 113 grs.,MOSTAZAS,LYNTON,LYNTON,51.5,Pesos,0,0
8354,BITES SABORES SURTIDOS 105 GRS 12/3.7 OZ,AGRIDULCES,,AMERICAN LICORICE COMPANY,51.5,Pesos,0,8
8354 HAM,BITES SABORES SURTIDOS 105 GRS 12/3.7 OZ,GOMITAS,,AMERICAN LICORICE COMPANY,51.5,Pesos,0,0
8356,BITES SABORES FRUTOS ROJOS 105 GRS 12/3.7 OZ,GOMITAS,,AMERICAN LICORICE COMPANY,51.5,Pesos,0,8
8356 HAM,BITES SABORES FRUTOS ROJOS 105 GRS 12/3.7 OZ,GOMITAS,,AMERICAN LICORICE COMPANY,51.5,Pesos,0,0
8357,BITES SABORES FRUTAS TROPICALES 105 GRS 12/3.7 OZ,GOMITAS,,AMERICAN LICORICE COMPANY,51.5,Pesos,0,8
8357 HAM,BITES SABORES FRUTAS TROPICALES 105 GRS 12/3.7 OZ,GOMITAS,,AMERICAN LICORICE COMPANY,51.5,Pesos,0,0
8732,SP BITES SUB ASSORTED 12/9 OZ,GOMITAS,,AMERICAN LICORICE COMPANY,51.5,Pesos,0,8
8736,SP BITES SUB TROPICAL 12/9 OZ,GOMITAS,,AMERICAN LICORICE COMPANY,51.5,Pesos,0,8
102131087 SP,POLVO RECOVERY FRUTAS TROP 44.5 G,DEXTRO,DEXTRO,DEXTRO,51.2,Pesos,16,0
20854,GOMITAS HONEY STINGER CHERRY BLOSSON 50G,,HONEY STINGER,HONEY STINGER,51,Pesos,0,8
20915,GOMITAS HONEY STINGER LIME CAFEINA 50G,,HONEY STINGER,HONEY STINGER,51,Pesos,0,8
20977,GOMITAS HONEY STINGER POMAGRATE 50G,,HONEY STINGER,HONEY STINGER,51,Pesos,0,8
41070,JELLY BELLY LICORICE BRIDGE MIX 3 OZ,GOMITAS,JELLY BELLY,JELLY BELLY,51,Pesos,0,8
45104,SUNKIST FRUIT SLICES 3.5 oz. (99 grs.),NULL,JELLY BELLY,JELLY BELLY,51,Pesos,0,8
45116,JELLY BELLY GUMMI BEARS BAG 3 OZ,GOMITAS,JELLY BELLY,JELLY BELLY,51,Pesos,0,8
45118,JELLY BELLY CANDY CORN BAG 3 OZ,GOMITAS,JELLY BELLY,JELLY BELLY,51,Pesos,0,8
45310,JELLY BELLY RASPB & BLKBRRS BAG 2.75 OZ,GOMITAS,JELLY BELLY,JELLY BELLY,51,Pesos,0,8
66115,JELLY BELLY TROPICAL  3.5 OZ,GOMITAS,JELLY BELLY,JELLY BELLY,51,Pesos,0,8
66116,JELLY BELLY COCKTAIL CLASSICS MIX 3.5 OZ,GOMITAS,JELLY BELLY,JELLY BELLY,51,Pesos,0,8
66121,JELLY BELLY JUICY PEAR   3.5 OZ,GOMITAS,JELLY BELLY,JELLY BELLY,51,Pesos,0,8
66124,JELLY BELLY ROSE GRAB N GO BAG 3.5 OZ,GOMITAS,JELLY BELLY,JELLY BELLY,51,Pesos,0,8
66125,JELLY BELLY VERY CHERRY  3.5 OZ,GOMITAS,JELLY BELLY,JELLY BELLY,51,Pesos,0,8
66142,JELLY BELLY BIRTHDAY CAKE GNG BAG 3.5 OZ,GOMITAS,JELLY BELLY,JELLY BELLY,51,Pesos,0,8
66867,JELLY BELLY COTTON CANDY 3.5 OZ,GOMITAS,JELLY BELLY,JELLY BELLY,51,Pesos,0,8
66891,JELLY BELLY SUNKIST CITRUS MIX  3 OZ,GOMITAS,JELLY BELLY,JELLY BELLY,51,Pesos,0,8
66923,JELLY BELLY BUBBLE GUM 3.5 OZ,GOMITAS,JELLY BELLY,JELLY BELLY,51,Pesos,0,8
66935,JELLY BELLY S`MORES GNG 3.5 OZ,GOMITAS,JELLY BELLY,JELLY BELLY,51,Pesos,0,8
66936,JELLY BELLY LEMON MERINGUE GNG 3.5 OZ,GOMITAS,JELLY BELLY,JELLY BELLY,51,Pesos,0,8
66938,JELLY BELLY KIDS MIX BAG   3.5 OZ,GOMITAS,JELLY BELLY,JELLY BELLY,51,Pesos,0,8
76976,JELLY BELLY POMEGRANATE 3.5 OZ,GOMITAS,JELLY BELLY,JELLY BELLY,51,Pesos,0,8
EF9389,CHOCOLATE AMARGO 81% COCOA 100G,TABLETAS CHOCOLATE,RITTER,RITTER,51,Pesos,0,8
857022 DISPLAY,12 PZ MENTOS ROLL MENTA 29.7 GRS,DULCES,PERFETTI VAN MELLE MEXICO,PERFETTI VAN MELLE MEXICO,50.4,Pesos,0,8
857303 DISPLAY,12 PZ MENTOS ROLL FRUTAS 29.7 GRS,DULCES,PERFETTI VAN MELLE MEXICO,PERFETTI VAN MELLE MEXICO,50.4,Pesos,0,8
20588,BARRA PROTEIN HONEY STINGER BERRY BANANA 50G,,HONEY STINGER,HONEY STINGER,50,Pesos,0,8
20618,BARRA PROTEIN HONEY STINGER CHOCO 50G,,HONEY STINGER,HONEY STINGER,50,Pesos,0,8
20649,BARRA PROTEIN HONEY STINGER PEANUT BUTTER 50G,,HONEY STINGER,HONEY STINGER,50,Pesos,0,8
20700,BARRA PROTEIN HONEY STINGER CHOCO COCO ALM 42G,,HONEY STINGER,HONEY STINGER,50,Pesos,0,8
20731,BARRA PROTEIN HONEY STINGER CHOCO CHERRY 42G,,HONEY STINGER,HONEY STINGER,50,Pesos,0,8
42224,DISPENSADOR DE FIGURA TRANSFORMERS PEZ,DULCE C/AZ,PEZ,PEZ,50,Pesos,16,0
502509,MANGO ENCHILADO 250 GRS,FRUTA SECA,BALMORO,BALMORO,50,Pesos,0,8
603503,PI�A ENCHILADA 350 GRS,FRUTA SECA,BALMORO,BALMORO,50,Pesos,0,8
64224,DISPENSADOR DE FIGURA PEZ BOB ESPONJA,DULCE C/AZ,PEZ,PEZ,50,Pesos,16,0
66331 JEL,JELLY BELLY SABOR CERVEZA 100 G,NULL,JELLY BELLY,JELLY BELLY,50,Pesos,0,8
6831224,DISPENSADOR DE PEZ MINECRAFT,DULCE C/AZ,PEZ,PEZ,50,Pesos,16,0
702503,MANGO LIMON 250 GRS,FRUTA SECA,BALMORO,BALMORO,50,Pesos,0,8
62030,JELLY BELLY ASST BEAN TIN 1.7 OZ.,NULL,JELLY BELLY,JELLY BELLY,49,Pesos,0,8
EF9319,CHOCOLATE AMARGO 55% COCOA 100 G,TABLETAS CHOCOLATE,RITTER,RITTER,49,Pesos,0,8
EF9320,CHOCOLATE AMARGO 61% COCOA 100 G,TABLETAS CHOCOLATE,RITTER,RITTER,49,Pesos,0,8
EF9330,CHOCOLATE AMARGO 74% COCOA,TABLETAS CHOCOLATE,RITTER,RITTER,49,Pesos,0,8
USCL1011,CHOCOLATE MR BEAST PASTEL DE CUMPLEA�OS 60 GR,CHOCOLATES,FEASTABLES,FEASTABLES,48,Pesos,0,8
61805 HAM,JB HARRY POTTER BERTIE BOTTS BOX 1.2 OZ,GOMITAS,JELLY BELLY,JELLY BELLY,47.52,Pesos,0,0
WF7009 HAM,CHOCOLATE CON LECHE CON AVELLANAS RITTER 100 G,TABLETAS CHOCOLATE,RITTER,RITTER,47.52,Pesos,0,0
WF7019 HAM,CHOCOLATE BLANCO CON AVELLANAS ENTERAS 100 GRS,TABLETAS CHOCOLATE,RITTER,RITTER,47.52,Pesos,0,0
WF7029 HAM,CHOCO AMARGO CON AVELLANAS ENTERAS RITTER 100 G,TABLETAS CHOCOLATE,RITTER,RITTER,47.52,Pesos,0,0
WF7039 HAM,CHOCOLATE CON LECHE CON ALMENDRAS RITTER 100 G,TABLETAS CHOCOLATE,RITTER,RITTER,47.52,Pesos,0,0
66268,JB HARRY POTTER SLUGS CADDY 2.1 OZ,GOMITAS,JELLY BELLY,JELLY BELLY,47.5,Pesos,0,8
UE2009,CHOCOLATE YOGURTH CON MORAS RITTER 100 G,TABLETAS CHOCOLATE,RITTER,RITTER,47.5,Pesos,0,8
UE2159,CHOCO CON LECHE RELLENO DE CREMA DE COCO Y GALLETA 100 G,TABLETAS CHOCOLATE,RITTER,RITTER,47.5,Pesos,0,8
UE2169,CHOCO CON LECHE RELLENO DE YOGURTH TROZOS DE AVELLAS 100 G,TABLETAS CHOCOLATE,RITTER,RITTER,47.5,Pesos,0,8
UE2179,CHOCO BLANCO RELENO DE CREMA DE MANGO Y MARACUYA 100 G,TABLETAS CHOCOLATE,RITTER,RITTER,47.5,Pesos,0,8
UE3009,CHOCOLATE COCO CON MACARRON 100 GRS,TABLETAS CHOCOLATE,RITTER,RITTER,47.5,Pesos,0,8
47789,VITROLERO WARHEADS 469 g.,AGRIDULCES,FOREIGN,FOREIGN,46,Pesos,0,0
47789K,MEGA WARHEADS A GRANEL 1 KG.,AGRIDULCES,FOREIGN,FOREIGN,46,Pesos,0,0
USCL1001,CHOCOLATE MR BEAST CON LECHE CON TROZOS DE ALMENDRAS 60 GR,CHOCOLATES,FEASTABLES,FEASTABLES,46,Pesos,0,8
USCL1003,CHOCOLATE MR BEAST CON LECHE 60 GR,CHOCOLATES,FEASTABLES,FEASTABLES,46,Pesos,0,8
USCL1006,CHOCOLATE MR BEAST CON LECHE CON ARROZ INFLADO 60 GR,CHOCOLATES,FEASTABLES,FEASTABLES,46,Pesos,0,8
USCL1007,CHOCOLATE MR BEAST CON LECHE CON CREMA DE CACAHUATE 60 GR,CHOCOLATES,FEASTABLES,FEASTABLES,46,Pesos,0,8
USCL1008,CHOCOLATE MR BEAST COOKIES AND CREAM 60 GR,CHOCOLATES,FEASTABLES,FEASTABLES,46,Pesos,0,8
EX119 HAM,CHOCOLATE CON LECHE CON CORN FLAKES RITTER 100 GRS.,TABLETAS CHOCOLATE,RITTER,RITTER,45.9,Pesos,0,0
3224,DISPENSADOR PEPPA PIG DE PEZ,DULCE C/AZ,PEZ,PEZ,45.5,Pesos,16,0
8224,DISPENSADOR PIKACHU DE PEZ,DULCE C/AZ,PEZ,PEZ,45.5,Pesos,16,0
10224,DISPENSADOR ASTERIX DE PEZ,DULCE C/AZ,PEZ,PEZ,45.5,Pesos,16,0
108224,DISPENSADOR DE PEZ SCOOBY DOO,DULCE C/AZ,PEZ,PEZ,45.5,Pesos,16,0
240224,DISPENSADOR DE PEZ MARS MISSION,DULCE C/AZ,PEZ,PEZ,45.5,Pesos,16,0
27224,DISPENSADOR DE PEZ HELLO KITTY,DULCE C/AZ,PEZ,PEZ,45.5,Pesos,16,0
33224,DISPENSADOR DE PEZ BARBIE,DULCE C/AZ,PEZ,PEZ,45.5,Pesos,16,0
70224,DISPENSADOR DE PEZ ANIMAL CROSSING,DULCE C/AZ,PEZ,PEZ,45.5,Pesos,16,0
80224,DISPENSADOR LITTLE PONY DE PEZ,DULCE C/AZ,PEZ,PEZ,45.5,Pesos,16,0
879224,DISPENSADOR DE GABBY�S DOLLLHOUSE,DULCE C/AZ,PEZ,PEZ,45.5,Pesos,16,0
97224,DISPENSADOR DE PEZ PLAY MOBIL,DULCE C/AZ,PEZ,PEZ,45.5,Pesos,16,0
98224,DISPENSADOR DE PEZ LOONEY TUNES,DULCE C/AZ,PEZ,PEZ,45.5,Pesos,16,0
99224,DISPENSADOR DE PEZ DC HEROES,DULCE C/AZ,PEZ,PEZ,45.5,Pesos,16,0
997224,DISPENSADOR DE PEZ HELLO KITTY 2024,DULCE C/AZ,PEZ,PEZ,45.5,Pesos,16,0
C1224,DISPENSADOR DE PEZ SONIC,DULCE C/AZ,PEZ,PEZ,45.5,Pesos,16,0
E1224,DISPENSADOR DE PEZ KITTY DOG FRIEND,DULCE C/AZ,PEZ,PEZ,45.5,Pesos,16,0
G1224,DISPENSADOR DE PEZ CARE BEARS,DULCE C/AZ,PEZ,PEZ,45.5,Pesos,16,0
102131087,POLVO RECOVERY FRUTAS TROP 44.5 G,DEXTRO,DEXTRO,DEXTRO,45,Pesos,16,0
725.70.2501,HOJUELAS DE CHOCO CON LECHE Y ARROZ INFLADO 80g,TABLETAS CHOCOLATE,CHOCOLA�S,CHOCOLA�S,45,Pesos,0,8
725.70.2503,HOJUELAS CHOC C/LECHE Y ARROZ INFLADO SABOR NJA 80g,CHOCOLATES,CHOCOLA�S,CHOCOLA�S,45,Pesos,0,8
725.70.2504,HOJUELAS CHOC C/LECHE Y ARROZ INFLADO CON AVEL 80g,CHOCOLATES,CHOCOLA�S,CHOCOLA�S,45,Pesos,0,8
UE2749,CHOCOLATE CON LECHE CON CREMA FRAMBUESA 100 GRS,TABLETAS CHOCOLATE,RITTER,RITTER,45,Pesos,0,8
UE9289,CHOCOLATE BLANCO CON WAFFER DE LIMON 100G,TABLETAS CHOCOLATE,RITTER,RITTER,45,Pesos,0,8
UE9309,CHCOLATE AMARGO RELLENO DE CFREMA DE MENTA 100 G,TABLETAS CHOCOLATE,RITTER,RITTER,45,Pesos,0,8
UE9359,CHOCOLATE CON MOUSSE DE FRESA 100 G,TABLETAS CHOCOLATE,RITTER,RITTER,45,Pesos,0,8
9680N RUS,SF PANNED PNUT PEG BAG 3.6 OZ,NULL,RUSSEL,RUSELL,44.5,Pesos,0,8
9962NP RUS,SF PB CRUNCH PEG BAG 3.0 OZ,NULL,RUSSEL,RUSELL,44.5,Pesos,0,8
EX189 HAM,CHOCO CON LECHE EXTRAFINO RITTER 100 G,TABLETAS CHOCOLATE,RITTER,RITTER,44.36,Pesos,0,0
EX129 HAM,CHOCOLATE RON CON PASAS  100 GRS.,TABLETAS CHOCOLATE,RITTER,RITTER,43.36,Pesos,0,0
EX209 HAM,CHOCOLATE AMARGO 50% COCOA RITTER 100 GRS.,TABLETAS CHOCOLATE,RITTER,RITTER,43.36,Pesos,0,0
EX2149 HAM,CHOCOLATE DE LECHE CON GALLETA 100 GRS.,TABLETAS CHOCOLATE,RITTER,RITTER,43.36,Pesos,0,0
EX259 HAM,CHOCOLATE AMARGO CON MAZAPAN RITTER 100 G,TABLETAS CHOCOLATE,RITTER,RITTER,43.36,Pesos,0,0
EX2699 HAM,CHOCOLATE LECHE FRESA CON YOGURTH RITTER 100 GRS.,TABLETAS CHOCOLATE,RITTER,RITTER,43.36,Pesos,0,0
WF289 HAM,CHOCOLATE AMARGO RELLENO DE CREMA DE MENTA 100 G,TABLETAS CHOCOLATE,RITTER,RITTER,43.36,Pesos,0,0
10043488 HAM,GOMITAS HAPPY COLA 160GRSX30,GOMITAS,HARIBO,HARIBO,43.2,Pesos,0,0
10043490 HAM,GOMITAS STARMIX 160GRSX30,GOMITAS,HARIBO,HARIBO,43.2,Pesos,0,0
10043492 HAM,GOMITAS GUSANOS 160GRSX30,GOMITAS,HARIBO,HARIBO,43.2,Pesos,0,0
10043494 HAM,GOMITAS OSITOS 160GRSX30,GOMITAS,HARIBO,HARIBO,43.2,Pesos,0,0
224 PEND,DISPENSADOR DE PEZ POR MAQUILAR,DULCE C/AZ,PEZ,PEZ,43,Pesos,16,0
62046,JELLY BELLY ASST BEAN TIN 2.25 OZ.,NULL,JELLY BELLY,JELLY BELLY,43,Pesos,0,8
80623 PIM,GOMITA AGRIDULCE SABOR SANDIA 241g,GOMITAS,PROMOTION IN MOTION,PROMOTION IN MOTION,43,Pesos,0,8
80625 PIM,GOMITA AGRIDULCE ( JACKS ) 255g,GOMITAS,PROMOTION IN MOTION,PROMOTION IN MOTION,43,Pesos,0,8
80631 PIM,GOMITA AGRIDULCE ( GUSANOS ) 227g,GOMITAS,PROMOTION IN MOTION,PROMOTION IN MOTION,43,Pesos,0,8
C9224,DISPENSADOR FIGURA DE ABEJA  DE PEZ,DULCE C/AZ,PEZ,PEZ,43,Pesos,16,0
T1224,DISPENSADOR DE PEZ MIRACULOUS,DULCE C/AZ,PEZ,PEZ,43,Pesos,16,0
X8224,DISPENSADOR DE PEZ 44 CATS,DULCE C/AZ,PEZ,PEZ,43,Pesos,16,0
Z4224,DISPENSADOR DE PEZ SING II,DULCE C/AZ,PEZ,PEZ,43,Pesos,16,0
61800 HAM,CAJA SABORES BEANBOOZLED 1.6 OZ.,NULL,JELLY BELLY,JELLY BELLY,42.77,Pesos,0,0
80092,TUTSI BOTA NAVIDE�A 300G,DULCES,TUTSI POP,TUTSI POP,42.5,Pesos,0,8
UE9299,CHOCO LECHE RELLENO CON CREMA DE AVELLANA 100 G,TABLETAS CHOCOLATE,RITTER,RITTER,42.5,Pesos,0,8
102131094 SP,POLVO ISO FAST FRUTAS 56 G,DEXTRO,DEXTRO,DEXTRO,42.39,Pesos,16,0
102131096 SP,POLVO ISO FAST NARANJA 56 G,DEXTRO,DEXTRO,DEXTRO,42.39,Pesos,16,0
102131311 SP,POLVO RECOVERY FRUTAS 356 GRS,DEXTRO,DEXTRO,DEXTRO,42.18,Pesos,16,0
CH PALP,CHAROLA 4 PACK PALMINI TIRAS DELGADAS DE CORAZON DE PALMITO (LINGUINE),PALMINI,OA FOODS LLC,OA FOODS LLC,42,Pesos,16,0
EX189,CHOCO CON LECHE EXTRAFINO RITTER 100 G,TABLETAS CHOCOLATE,RITTER,RITTER,40.15,Pesos,0,8
EX189 KIO,CHOCO CON LECHE EXTRAFINO RITTER 100 G,TABLETAS CHOCOLATE,RITTER,RITTER,40.15,Pesos,0,8
EX2119,CHOCOLATE RELLENO DE CREMA DE CARAMELO 100 G,TABLETAS CHOCOLATE,RITTER,RITTER,40.15,Pesos,0,8
UE2819,CHOCOLATE CON LECHE RELLENO DE GALLETA 100 G,TABLETAS CHOCOLATE,RITTER,RITTER,40.15,Pesos,0,8
UE2969,CHOC LECHE Y TROZOS DE ALMENDRAS CARAMELIZADA 100 G,TABLETAS CHOCOLATE,RITTER,RITTER,40.15,Pesos,0,8
UE9239,CHOCOLATE BLANCO CON TRAZAS DE CANELA 100 G,TABLETAS CHOCOLATE,RITTER,RITTER,40.15,Pesos,0,8
UE9259,CHOCOLATE CON LECHE RELLENO CREMOSO DE CACAO 100 G,TABLETAS CHOCOLATE,RITTER,RITTER,40.15,Pesos,0,8
UE9269,CHOC BLANCO RELLENO DE CREMA SABOR TORONJA 100 G,TABLETAS CHOCOLATE,RITTER,RITTER,40.15,Pesos,0,8
5542,ROLLS LA VAQUITA COCO BL BOLSA,CANEL�S,CANEL�S,CANEL�S,40,Pesos,0,8
10043488,GOMITAS HAPPY COLA 160GRSX30,GOMITAS,HARIBO,HARIBO,40,Pesos,0,8
10043490,GOMITAS STARMIX 160GRSX30,GOMITAS,HARIBO,HARIBO,40,Pesos,0,8
10043492,GOMITAS GUSANOS 160GRSX30,GOMITAS,HARIBO,HARIBO,40,Pesos,0,8
10043494,GOMITAS OSITOS 160GRSX30,GOMITAS,HARIBO,HARIBO,40,Pesos,0,8
20120,GEL HONEY STINGER CHOCOLATE CAFEINA 32G,,HONEY STINGER,HONEY STINGER,40,Pesos,16,0
20151,GEL HONEY STINGER KIWIFRESA CAFEINA 32G,,HONEY STINGER,HONEY STINGER,40,Pesos,16,0
20403,GEL HONEY STINGER ACAI POMAGRATE 32G,,HONEY STINGER,HONEY STINGER,40,Pesos,16,0
20434,GEL HONEY STINGER FRUIT SMOOTHIE 32G,,HONEY STINGER,HONEY STINGER,40,Pesos,16,0
20465,GEL HONEY STINGER VAINILLA 32G,,HONEY STINGER,HONEY STINGER,40,Pesos,16,0
20496,GEL HONEY STINGER 32G,,HONEY STINGER,HONEY STINGER,40,Pesos,16,0
24006,DULCE CON POLVO WARHEADS  3 OZ,NULL,FOREIGN,FOREIGN,40,Pesos,0,8
66328,BEAN BOOZLED MINION EDITION BAG 1.9 OZ,GOMITAS,JELLY BELLY,JELLY BELLY,40,Pesos,0,8
WF7009,CHOCOLATE CON LECHE CON AVELLANAS RITTER 100 G,TABLETAS CHOCOLATE,RITTER,RITTER,40,Pesos,0,8
WF7009 KIO,CHOCOLATE CON LECHE CON AVELLANAS RITTER 100 G,TABLETAS CHOCOLATE,RITTER,RITTER,40,Pesos,0,8
WF7019,CHOCOLATE BLANCO CON AVELLANAS ENTERAS 100 GRS,TABLETAS CHOCOLATE,RITTER,RITTER,40,Pesos,0,8
WF7029,CHOCO AMARGO CON AVELLANAS ENTERAS RITTER 100 G,TABLETAS CHOCOLATE,RITTER,RITTER,40,Pesos,0,8
WF7039,CHOCOLATE CON LECHE CON ALMENDRAS RITTER 100 G,TABLETAS CHOCOLATE,RITTER,RITTER,40,Pesos,0,8
WF7059,CHOCOLATE CON LECHE CON MACADAMIA RITTER 100 G,TABLETAS CHOCOLATE,RITTER,RITTER,40,Pesos,0,8
WF7076,CHOCOLATE CON NUEZ DE LA INDIA 100 GRS,TABLETAS CHOCOLATE,RITTER,RITTER,40,Pesos,0,8
WF7086,CHOCOLATE AMARGO CON ALMENDRAS 100 GRS,TABLETAS CHOCOLATE,RITTER,RITTER,40,Pesos,0,8
WF7086 HAM,CHOCOLATE AMARGO CON ALMENDRAS 100 GRS,TABLETAS CHOCOLATE,RITTER,RITTER,40,Pesos,0,0
USCP2307,CHOCOLATE MR BEAST CUPS PEANUT BUTTER 40 GR,CHOCOLATES,FEASTABLES,FEASTABLES,39,Pesos,0,8
USCP2707,CHOCOLATE MR BEAST CUPS CREMA DE AVELLANA 40 GR,CHOCOLATES,FEASTABLES,FEASTABLES,39,Pesos,0,8
8304305,PALETA CREMOSA 8 DISPLAY  X 25 PIEZAS,DULCES,PERFETTI VAN MELLE MEXICO,PERFETTI VAN MELLE MEXICO,38.5,Pesos,0,8
61805,JB HARRY POTTER BERTIE BOTTS BOX 1.2 OZ,GOMITAS,JELLY BELLY,JELLY BELLY,38,Pesos,0,8
9623N RUS,SF CHOCOLATE TRUFFLES,NULL,RUSSEL,RUSELL,37,Pesos,0,8
9644N RUS,SF SOLID PREMIUM DARK CHOCOLATES 85 G,NULL,RUSSEL,RUSELL,37,Pesos,0,8
UE2369,CHOCOLATE CON LECHE YOGURTH ZARZAMORA 100 GRS,TABLETAS CHOCOLATE,RITTER,RITTER,36.5,Pesos,0,8
102131094,POLVO ISO FAST FRUTAS 56 G,DEXTRO,DEXTRO,DEXTRO,36,Pesos,16,0
102131096,POLVO ISO FAST NARANJA 56 G,DEXTRO,DEXTRO,DEXTRO,36,Pesos,16,0
MERENDOLA - B,MANGO ENCHLADO MERENDOLA 80 G,FRUTA SECA,BALMORO,BALMORO,35.65,Pesos,0,8
MERENDOLA - L,MANGO ENCHLADO MERENDOLA 80 G,FRUTA SECA,BALMORO,LOGOR,35.65,Pesos,0,8
USCL2003,CHOCOLATE MR BEAST CON LECHE 35 GR,CHOCOLATES,FEASTABLES,FEASTABLES,35.5,Pesos,0,8
USCL2006,CHOCOLATE MR BEAST CON LECHE CON ARROZ INFLADO 35 GR,CHOCOLATES,FEASTABLES,FEASTABLES,35.5,Pesos,0,8
